date,IP,HICP,de1y,eurostoxx50,bbb_spread,ois_1y
1999-01-01,4.443827035579329,4.304605487705297,2.8599999,8.161763586007199,7.073636363636363,-0.25000000000003897
1999-02-01,4.430816798843313,4.305010592025198,2.99,8.14638179703894,7.526190476190476,0
1999-03-01,4.4355674016019115,4.307033655632451,2.8399999,8.167406894742713,7.3478260869565215,0.999999999999979
1999-04-01,4.439115601658009,4.310799125385514,2.5999999,8.208436058468406,6.990909090909091,-0.89999999999999
1999-05-01,4.443827035579329,4.310530632968812,2.6500001,8.207873505109756,6.83,0.700000000000012
1999-06-01,4.448516375942715,4.310933344565636,2.9000001,8.229364574894065,6.6059090909090905,-0.500000000000034
1999-07-01,4.457829598089382,4.3129444734864375,3.01,8.2548502607211791,5.971304347826087,5.49999999999998
1999-08-01,4.457829598089382,4.314817884980432,3.1600001,8.213740994986932,6.427727272727273,0
1999-09-01,4.464758032271346,4.316020370261276,3.1800001,8.235570669416457,6.284545454545454,-2
1999-10-01,4.476199804691132,4.317621437981545,3.5599999,8.227540405049442,6.027727272727272,-6.9999999999999805
1999-11-01,4.477336814478207,4.319219946381069,3.6700001,8.333263886888249,5.968636363636364,1.199999999999957
1999-12-01,4.477336814478207,4.3221439250725044,3.78,8.431658766831601,5.5056521739130435,-0.10000000000003301
2000-01-01,4.473921899378137,4.323470185213858,3.97,8.458441308678797,5.363333333333333,-3.50000000000001
2000-02-01,4.487512142519859,4.325191697921343,4.0700002,8.53498536773697,5.291904761904762,9.49999999999998
2000-03-01,4.489759334476764,4.327306422473649,4.1599998,8.578679653506335,5.41,-3.99999999999992
2000-04-01,4.500920164614292,4.327174383125731,4.4299998,8.54658623234732,5.748095238095238,1.49999999999997
2000-05-01,4.514150787600923,4.328625857946767,4.8400002,8.551542365560698,6.692608695652174,3.50000000000001
2000-06-01,4.500920164614292,4.332442405318121,4.8699999,8.570746242629005,6.973181818181819,15.200000000000133
2000-07-01,4.513054897080286,4.333886259345946,5.0500002,8.561749950213905,7.262380952380952,1.30000000000008
2000-08-01,4.511957804265912,4.335851797553269,5.1700001,8.547132503778894,7.662173913043478,-4.800000000000009
2000-09-01,4.514150787600923,4.340553386467307,5.0599999,8.543428671710465,7.900909090909091,-2.00000000000005
2000-10-01,4.516338972281476,4.341204640153626,5.1300001,8.495610532403193,9.446363636363635,5.49999999999997
2000-11-01,4.526126978647638,4.344194956364874,4.9699998,8.50970879305086,10.488181818181818,-1.299999999999992
2000-12-01,4.531523645819793,4.342895917470844,4.6100001,8.473687411262913,10.94909090909091,2.50000000000004
2001-01-01,4.522874943261261,4.342245764662037,4.4400001,8.461607096129491,9.86,-0.499999999999989
2001-02-01,4.52720864451838,4.345232973844869,4.46,8.417564837704386,9.6595,0.3000000000000109
2001-03-01,4.522874943261261,4.347435189904263,4.2600002,8.342639450868724,11.002608695652174,7.699999999999997
2001-04-01,4.513054897080286,4.3511807545027805,4.6700001,8.368145005033421,11.371428571428572,14.999999999999988
2001-05-01,4.517431271680085,4.355554314342767,4.3800001,8.407794912731624,10.263913043478261,-16.7
2001-06-01,4.516338972281476,4.357221515754911,4.29,8.363967137324158,11.202727272727273,0.9999999999999791
2001-07-01,4.497584975308154,4.3578620076745835,4.1900001,8.303461682539622,12.14409090909091,2.50000000000004
2001-08-01,4.520701029361642,4.358502089626924,3.96,8.264782479578903,12.235652173913044,-1.5000000000000195
2001-09-01,4.508659285607248,4.360802998222255,3.4200001,8.09468306890005,12.051904761904762,-15.000000000000021
2001-10-01,4.493120682179469,4.360930671379148,3.1500001,8.143492412750486,15.371304347826086,7.949999999999988
2001-11-01,4.487512142519859,4.360930671379148,3.21,8.209207644665353,13.741363636363637,5.00000000000003
2001-12-01,4.49647076906475,4.362078996864185,3.3199999,8.219079835138613,13.452857142857143,5.49999999999997
2002-01-01,4.49647076906475,4.368434681154414,3.5999999,8.213416993865618,11.533478260869565,0
2002-02-01,4.497584975308154,4.369574426734642,3.55,8.17120397970968,12.506499999999999,4.74999999999999
2002-03-01,4.506454213048934,4.371850028222321,3.8599999,8.22797530019835,11.235454545454546,1.50000000000001
2002-04-01,4.504244267398131,4.37462430490712,3.73,8.204840376801592,11.159545454545455,-2.4999999999999902
2002-05-01,4.508659285607248,4.375631227585021,3.9100001,8.161504703626756,11.436521739130434,7.7
